Generated_SELFIES	Generated_SMILES	Ground_Truth_SELFIES
[C][C@H1][C@H1][Branch2][#Branch1][N][C@H1][Branch2][=Branch1][#Branch1][C@@H1][Branch2][=Branch1][C][C@@H1][Branch1][Ring2][O][Ring1][=Branch1][O][C@@H1][C@H1][Branch2][Branch1][C][C@@H1][Branch2][Branch1][P][C@H1][Branch2][Branch1][P][O][C@H1][Ring1][=Branch1][O][C@@H1][C@H1][Branch2][Ring1][=N][Branch1][Ring2][O][C@H1][Branch2][Ring1][=Branch2][C@@H1][Branch1][Ring2][O][Ring1][=Branch1][O][C][O][C@H1][C@@H1][Branch1][=C][C@@H1][Branch1][O][C@H1][Branch1][C@@H1][Ring1][=Branch1][C][O][O][N][O][O][O][C][=Branch1][C][=O][C][O][O][O][O]	C1[C@H1]2[C@H1][C@H1][C@@H1][C@@H1](O2)O[C@@H1]3[C@H1][C@@H1][C@H1]O[C@H1]3O[C@@H1][C@H1]1COONOOOC(=O)COOOO	[C][C@H1][C@H1][Branch2][#Branch1][O][C@H1][Branch2][#Branch1][=Branch1][C@@H1][Branch2][=Branch1][P][C@@H1][Branch1][Ring2][O][Ring1][=Branch1][O][C][C@@H1][C@H1][Branch2][Ring2][=Branch2][C@@H1][Branch1][P][C@H1][Branch1][Branch2][C@@H1][Branch1][Ring2][O][Ring1][=Branch1][O][N][C][=Branch1][C][=O][C][O][C@H1][C@H1][Branch1][S][C@@H1][Branch1][N][C@@H1][Branch1][Branch2][C@@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][O][O][O][C@H1][C@@H1][Branch1][P][C@H1][Branch1][=N][C@@H1][Branch1][=Branch2][C@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][O][O][N][C][=Branch1][C][=O][C][O][O][O]
[C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][N][C][=Branch1][C][=O][=Branch1][C][=O][P][C@H1][Branch1][=N][C@@H1][Branch1][=Branch2][C@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][O][O][O][O]	COC1=CC2=C(C=C1)C=C2S(=O)(C(=O)C=O)[C@@H1]([C@H1](O)CO)OOOO	[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][Branch1][=C][N][Ring1][Branch1][C][/C][=Branch1][O][=N][/O][S][=Branch1][C][=O][=Branch1][C][=O][O-1][/S][C@H1][C@@H1][Branch1][P][C@H1][Branch1][=N][C@@H1][Branch1][=Branch2][C@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][O][O][O]
[C][N][C][C][Branch1][Branch1][C][C][Ring1][=Branch1][C][=Branch1][C][=O][N][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][=Branch1][C][C][Ring1][=Branch2][C][C][=C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O]	C1NCC(CC1)C(=O)N(C2=CC=C)C=C2CCCC=CC3=CC=C(C=C3)C(=O)O	[C][N][Branch1][C][C][C][=Branch1][C][=O][C][Branch2][Ring1][O][C][C][N][C][C][C][Branch1][Branch1][C][C][Ring1][=Branch1][Branch1][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl][O][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1]
[C][C][C][=Branch1][C][=O][S][C][=N+1][Branch1][C][C][C][C][C][=C][Branch1][O][C][=Branch1][C][=O][Branch1][O][C][=C][Branch1][Branch1][C][C][Ring1][=Branch1][=N][C][C][C][C][=Branch1][C][=O][O]	CCC(=O)SC=[N+1](C)CCC=C(C(=O)OC=CCC)NCCCC(=O)O	[C][C][=C][Branch2][Ring1][S][S][C][=Branch1][P][=N+1][Ring1][Branch1][C][C][=C][N][=C][Branch1][=Branch1][N][=C][Ring1][=Branch1][N][C][C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][O][C][C][O][P][=Branch1][C][=O][Branch1][C][O][O][P][=Branch1][C][=O][Branch1][C][O][O]
[C][Branch2][Ring1][C][C@H1][Branch2][Ring1][C][C@H1][Branch1][=C][Branch1][#Branch1][C@@H1][Branch1][Branch1][C@@H1][Ring1][=Branch1][O][O][O][O][O][O]	C1[C@H1][C@H1]([C@@H1]([C@@H1]1O)OOOO)O	[C][Branch2][Ring1][Ring1][C@H1][Branch1][#C][C@H1][Branch1][O][C@@H1][Branch1][#Branch1][C@H1][Branch1][Ring1][C][O][O][O][O][O][O]
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=N+1][Branch1][=Branch1][O][C][O][C][=Branch1][C][=O][O-1][C][=C][C][=C][C][=C][Ring1][=Branch1]	C1=CC=C(C=C1)C=[N+1](OCOC=O)[O-1]	[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][As][=Branch1][C][=O][Branch1][C][O][O-1]
[C][C][C][C][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O]	CCCCCCCCCCCCCC(=O)O	[C][C][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C][=Branch1][C][=O][C][C][C][C][C][C][C][C][C][C][C]
[C][C][=C][Branch2][Ring1][Ring2][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2][C][=Branch1][C][=O][O-1][O][O]	CC1=CC=CC2=CC=CC=C21	[C][C][=C][C][=C][Branch2][Ring1][C][C][=C][Branch1][=Branch2][C][Ring1][=Branch1][=C][C][=C][Ring1][#Branch2][C][=Branch1][C][=O][O][O-1]
[C][C][C][C][C][C][C][C][C@@H1][Branch1][P][C][C][C][C][C][C][C][=Branch1][C][=O][O][C@H1][Branch1][O][C][C][C][C][C][C][C][O][P][=Branch1][C][=O][Branch1][O][O]	CCCCCCCC[C@@H1](CCCCCCC(=O)O[C@H1]CCCCCCCOP=O)OO	[C][C][C][C][C][C][C][C][C@@H1][Branch2][Ring1][=Branch2][C@H1][Branch1][=N][C][C][C][C][C][C][C][C][=Branch1][C][=O][O][O][P][=Branch1][C][=O][Branch1][C][O][O][O]
[C][C@H1][C@H1][Branch2][#Branch1][Branch1][C@H1][Branch2][=Branch1][=C][C@@H1][Branch2][=Branch1][#Branch1][C@@H1][Branch1][Ring2][O][Ring1][=Branch1][O][C@@H1][C@H1][Branch2][Branch1][Ring2][C@H1][Branch2][Branch1][C][C@H1][Branch2][Ring2][#C][O][C@H1][Ring1][=Branch1][O][C@@H1][C@H1][Branch2][Ring1][P][O][O][C@H1][Branch1][=Branch2][C@H1][Branch1][C@H1][Ring1][=Branch1][O][N][C][=Branch1][C][=O][C][O][C@@H1][C@H1][Branch1][P][C@H1][Branch1][=N][C@@H1][Branch1][C@H1][Branch1][Ring2][O][Ring1][=Branch1][O][C][O][O][C][O][O][O][O][O][O]	C[C@H1]1[C@H1][C@H1]([C@@H1]([C@@H1](O1)O[C@@H1]2[C@H1]([C@H1][C@H1]O[C@H1]2O[C@@H1]3[C@H1](OO[C@H1]([C@H1]3ONC)C=O)OCO)OCOO)OOO)O	[C][C@H1][C@H1][Branch2][#Branch1][=Branch1][C@H1][Branch2][=Branch1][P][C@@H1][Branch2][=Branch1][N][C@@H1][Branch1][Ring2][O][Ring1][=Branch1][O][C@@H1][C@H1][Branch2][Branch1][#C][C@H1][Branch2][Ring2][Branch1][C@H1][Branch2][Ring1][#C][O][C@H1][Ring1][=Branch1][O][C@H1][C@H1][Branch2][Ring1][Ring2][C@H1][Branch1][#C][O][C][Branch1][#Branch2][C@@H1][Ring1][=Branch1][N][C][=Branch1][C][=O][C][O][C][O][O][C][O][O][C@@H1][C@@H1][Branch1][P][C@H1][Branch1][=N][C@H1][Branch1][=Branch2][C@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][O][O][O][O][O][O][O]
